"";"NUTS";"GDPPC"
"MT00";"MT00";14832,2446208237
"NL32";"NL32";42228,6234953257
"ME00";"ME00";NA
"NL33";"NL33";34641,9633914647
"NL34";"NL34";27736,8473490192
"NL11";"NL11";49324,4053225558
"NL12";"NL12";25590,9827839111
"NL13";"NL13";24436,8843074549
"NL41";"NL41";35612,3922672304
"ITI3";"ITI3";21656,8037433833
"ITI4";"ITI4";27355,245210435
"ITI2";"ITI2";21210,1751757109
"LT00";"LT00";8901,35478408129
"LI00";"LI00";NA
"LU00";"LU00";64200,9744694734
"LV00";"LV00";7994,92767424842
"ITG2";"ITG2";16257,6124936531
"ITH3";"ITH3";26151,6095686509
"ITF4";"ITF4";14212,9922495476
"ITG1";"ITG1";14152,4836361724
"ITH4";"ITH4";25061,4418461669
"ITF5";"ITF5";16144,8961212492
"ITI1";"ITI1";25098,299518299
"ITH1";"ITH1";34298,7199047732
"ITH5";"ITH5";28222,2069319705
"ITF6";"ITF6";13241,6599148386
"ITH2";"ITH2";29025,9309254439
"PL11";"PL11";8324,96540818344
"PL12";"PL12";14360,3498672879
"PL21";"PL21";7946,95831332394
"NO06";"NO06";30984,8972823978
"NO07";"NO07";30511,8751752913
"NO03";"NO03";25762,8111906195
"NO04";"NO04";32465,690389672
"NO05";"NO05";33409,78533696
"NO01";"NO01";44217,1709241876
"NO02";"NO02";25212,4681621591
"RO41";"RO41";3774,0507209991
"RO42";"RO42";5467,86556311864
"RO21";"RO21";3116,05946785647
"RO12";"RO12";4703,4128401727
"RO31";"RO31";3807,34065391222
"RO22";"RO22";4147,31538448356
"RO32";"RO32";12160,9291768125
"RO11";"RO11";4354,07199159608
"PL32";"PL32";6411,76088489223
"PL62";"PL62";6469,07950983186
"PL61";"PL61";7328,37960853538
"PL63";"PL63";8684,07989929276
"PT11";"PT11";11994,7409453085
"PT15";"PT15";14974,486903277
"PT17";"PT17";20437,1064530445
"PT18";"PT18";13524,7301059871
"PT16";"PT16";12652,705636701
"PT20";"PT20";13156,1876652125
"PT30";"PT30";13862,8153301009
"PL22";"PL22";9258,15111090646
"PL43";"PL43";7453,98803052119
"PL41";"PL41";9705,95090876314
"PL33";"PL33";6516,05756836342
"PL51";"PL51";10103,4060265846
"PL34";"PL34";6604,01428453969
"PL42";"PL42";7501,14330670582
"PL31";"PL31";6286,72909117585
"PL52";"PL52";7393,00411522634
"TR10";"TR10";28757,534942891
"TR31";"TR31";19797,4046448168
"TR32";"TR32";13794,9620274412
"TR51";"TR51";23686,8419156124
"TR52";"TR52";12551,9794850035
"TR61";"TR61";16383,5885036941
"TR71";"TR71";10800,8880308113
"TR33";"TR33";12780,0437152155
"TR72";"TR72";12077,6578666137
"TR41";"TR41";17562,2452376104
"TR81";"TR81";11072,4858890125
"TR82";"TR82";11148,5072990832
"TR62";"TR62";11880,1321515583
"TR42";"TR42";20265,8784624318
"TR83";"TR83";10376,5975968271
"TR63";"TR63";9554,00695452381
"TR90";"TR90";10926,9406252875
"TRA1";"TRA1";10021,8310164972
"SI03";"SI03";12859,0330355299
"SK01";"SK01";24282,4215504673
"SK02";"SK02";9290,63660343207
"SI04";"SI04";18141,8899304413
"TR21";"TR21";17473,8784703488
"SK03";"SK03";7781,09656483283
"TR22";"TR22";13844,343456205
"SK04";"SK04";6749,66706928056
"SE23";"SE23";35182,8599879718
"SE32";"SE32";32487,3507387169
"SE31";"SE31";30059,7812459885
"SE33";"SE33";35377,7812414761
"SE12";"SE12";31884,1298117884
"SE11";"SE11";52094,4037179477
"SE22";"SE22";31249,1721311818
"SE21";"SE21";31600,7084424342
"UKK1";"UKK1";35868,4109212074
"UKN0";"UKN0";25747,2300428695
"UKM2";"UKM2";31603,4070052338
"UKM3";"UKM3";27992,3319911329
"UKM5";"UKM5";52586,5001208932
"UKJ2";"UKJ2";36084,3712489007
"UKK2";"UKK2";28162,4895154402
"UKJ3";"UKJ3";34768,0684165667
"UKL1";"UKL1";21059,284035557
"UKJ4";"UKJ4";27257,6537365013
"UKK3";"UKK3";22219,5045377219
"UKK4";"UKK4";25827,6373129971
"UKL2";"UKL2";29320,1074027185
"UKD6";"UKD6";37441,5659610983
"UKD7";"UKD7";25882,7450781482
"UKE2";"UKE2";28059,8970403743
"UKE3";"UKE3";22514,4945849037
"UKE4";"UKE4";27844,0510954054
"UKG3";"UKG3";28451,5236812158
"UKF1";"UKF1";27684,9819921819
"UKE1";"UKE1";23998,2742814
"UKF2";"UKF2";29354,4243621038
"UKG1";"UKG1";29613,482947598
"UKH2";"UKH2";35284,7285372813
"UKF3";"UKF3";23669,6298309253
"UKI5";"UKI5";48213,1681202105
"UKI6";"UKI6";48213,1681202105
"UKI3";"UKI3";48213,1681202105
"UKI4";"UKI4";48213,1681202105
"UKH3";"UKH3";27463,6602044956
"UKG2";"UKG2";25116,6392313847
"UKI7";"UKI7";48213,1681202105
"UKJ1";"UKJ1";48284,1100712472
"UKH1";"UKH1";31590,567773102
"TRA2";"TRA2";6400,74282569464
"UKC1";"UKC1";22631,5115314866
"UKC2";"UKC2";26561,3192684239
"TRB1";"TRB1";9281,75934068094
"TRB2";"TRB2";6379,30088952086
"UKD1";"UKD1";27418,3703081064
"UKD3";"UKD3";29346,3003259439
"TRC1";"TRC1";10192,7167502458
"TRC2";"TRC2";6587,22269484238
"UKD4";"UKD4";24534,0637455604
"TRC3";"TRC3";7350,68557375733
"UKM6";"UKM6";25748,1680132552
